title,price,location,Registration Year,Insurance,Fuel Type,Kms Driven,RTO,Ownership
2015 Renault Duster RXL AWD,₹4.75 Lakh,"Mansarovar, Jaipur",Jan 2016,Expired,Diesel,"98,259 Kms",Jodhpur,Second Owner
2016 Toyota Innova Crysta 2.8 ZX AT BSIV,₹15.25 Lakh,"Nirman Nagar, Jaipur",Oct 2016,Comprehensive,Diesel,"85,479 Kms",kotputli,First Owner
2015 Skoda Rapid 1.5 TDI Ambition,₹4.35 Lakh,"Bassi Naga, Jaipur",Jul 2015,Expired,Diesel,"83,000 Kms",Jaipur,First Owner
2016 Mahindra XUV500 W5,₹6.73 Lakh,"Nirman Nagar, Jaipur",May 2016,Comprehensive,Diesel,"97,987 Kms",Jaipur,First Owner
2016 Mahindra Scorpio 1.99 S10,₹9.25 Lakh,"Bassi Naga, Jaipur",2016,Expired,Diesel,"1,00,000 Kms",Hardoi,Second Owner
2013 Renault Duster 85PS Diesel RxL,₹3.25 Lakh,"Ashok Nagar, Jaipur",2013,Expired,Diesel,"1,00,000 Kms",Jaipur,First Owner
2016 Maruti Wagon R Stingray VXI,₹3.75 Lakh,"Ashok Nagar, Jaipur",Aug 2016,Comprehensive,Petrol,"65,000 Kms",Jaipur,First Owner
2016 Maruti Swift VXI,₹3.40 Lakh,"City, Jaipur",2016,Expired,Petrol,"1,20,000 Kms",Bikaner,Second Owner
2018 Hyundai Grand i10 1.2 CRDi Sportz,₹3.80 Lakh,"Ashok Nagar, Jaipur",2018,Expired,Diesel,"50,000 Kms",Jaipur,First Owner
2013 Volkswagen Vento Diesel Highline,₹3.50 Lakh,"Ashok Nagar, Jaipur",Jun 2013,Comprehensive,Diesel,"81,676 Kms",Kishangarh,First Owner
2018 Mahindra Scorpio S11,₹15 Lakh,"Vaishali Nagar, Jaipur",Mar 2018,Comprehensive,Diesel,"85,000 Kms",Sikar,First Owner
2017 Ford Mustang V8,₹80 Lakh,"Tilak Nagar East, New Delhi",Jan 2019,Comprehensive,Petrol,"24,100 Kms",Chandigarh,Third Owner
2019 Honda Amaze S Petrol BSIV,₹5.21 Lakh,"Mansarovar, Jaipur",Oct 2019,Expired,Petrol,"56,000 Kms",Udaipur,Second Owner
2024 BMW 6 Series GT 630i M Sport,₹70 Lakh,"Tilak Nagar East, New Delhi",Nov 2024,Comprehensive,Petrol,"13,000 Kms",Mohali,First Owner
2022 Volkswagen Virtus Highline,₹10.80 Lakh,"Sanganer Bazar, Jaipur",2022,Expired,Petrol,"10,000 Kms",Jaipur,First Owner
2014 Hyundai Grand i10 1.2 Kappa Asta,₹3.59 Lakh,"City, Jaipur",May 2014,Comprehensive,Petrol,"1,14,971 Kms",kotputli,First Owner
2012 Hyundai i10 Magna 1.1,₹2.24 Lakh,"Mansarovar, Jaipur",Dec 2012,Comprehensive,Petrol,"1,23,047 Kms",Jaipur,First Owner
2021 Maruti S Cross Zeta,₹7.95 Lakh,"Nirman Nagar, Jaipur",Aug 2021,Comprehensive,Petrol,"32,060 Kms",Jaipur,First Owner
2022 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹6.95 Lakh,"Vaishali Nagar, Jaipur",Jan 2022,Comprehensive,Petrol,"4,164 Kms",Jaipur,First Owner
2013 Honda Amaze E i-Dtech,₹2.99 Lakh,"Ashok Nagar, Jaipur",May 2013,Comprehensive,Diesel,"78,000 Kms",Jaipur,First Owner
2006 Maruti Alto 800 LXi,₹70 Thousand,Jaipur,2006,Expired,Petrol,"1,50,000 Kms",Jaipur,Second Owner
2022 Skoda Kushaq 1.0 TSI Ambition Classic,₹8.40 Lakh,"Nirman Nagar, Jaipur",2022,Expired,Petrol,"70,000 Kms",220B,First Owner
2015 Honda Amaze S i-Vtech,₹2.90 Lakh,"Ashok Nagar, Jaipur",2015,Expired,Petrol,"60,000 Kms",Jaipur,First Owner
2015 Mitsubishi Pajero Sport 4X4,₹6.70 Lakh,"Vaishali Nagar, Jaipur",2015,Expired,Diesel,"1,500 Kms",mainpuri,Fourth Owner
2017 Maruti Alto 800 VXI,₹3.20 Lakh,"Ashok Nagar, Jaipur",May 2017,Expired,Petrol,"51,200 Kms",barmer,Second Owner
2012 Skoda Laura Ambiente 2.0 TDI CR MT,₹3.90 Lakh,"Ashok Nagar, Jaipur",Nov 2012,Comprehensive,Diesel,"98,000 Kms",Jaipur,First Owner
2015 Nissan Micra XV CVT,₹1.70 Lakh,"Ashok Nagar, Jaipur",2015,Expired,Petrol,"80,000 Kms",Bhilwara,Second Owner
2024 Mahindra Bolero B4,₹11.50 Lakh,"Bassi Naga, Jaipur",Jul 2024,Comprehensive,Diesel,"4,040 Kms",Jaipur,First Owner
2021 Maruti Baleno Zeta,₹4.90 Lakh,"Mansarovar, Jaipur",2021,Expired,Petrol,"80,000 Kms",New Delhi,First Owner
2024 Mahindra XUV 3XO AX5 AT,₹11.40 Lakh,"Nirman Nagar, Jaipur",May 2024,Zero Dep,Petrol,"18,444 Kms",Kota,First Owner
2019 Maruti Swift Dzire VXI 1.2,₹5 Lakh,"Mansarovar, Jaipur",2019,Expired,Petrol,"50,000 Kms",Jaipur,First Owner
2015 Toyota Fortuner 4x4 MT,₹16.50 Lakh,"Nirman Nagar, Jaipur",Apr 2015,Comprehensive,Diesel,"1,13,000 Kms",Jaipur,Second Owner
2016 Chevrolet Beat Diesel LT,₹2.74 Lakh,"Shyam Nagar, Jaipur",Aug 2016,Comprehensive,Diesel,"27,220 Kms",Jaipur,Second Owner
2019 Hyundai Grand i10 Nios AMT Magna,₹5.15 Lakh,"Mansarovar, Jaipur",Dec 2019,Third Party,Petrol,"63,000 Kms",Jaipur,First Owner
2010 Ford Endeavour 2.5L 4X2,₹3.90 Lakh,"Ashok Nagar, Jaipur",Oct 2010,Comprehensive,Diesel,"1,37,000 Kms",jhalawar,Second Owner
2015 Toyota Fortuner 4x2 Manual,₹10.95 Lakh,"Sanganer Bazar, Jaipur",2015,Expired,Diesel,"1,20,000 Kms",bhiwadi,Third Owner
2022 Renault KWID 1.0 AMT RXT,₹4.82 Lakh,"Mansarovar, Jaipur",Mar 2023,Comprehensive,Petrol,"7,529 Kms",Jaipur,First Owner
2019 Maruti Baleno 1.2 Alpha,₹5.85 Lakh,"Nirman Nagar, Jaipur",Oct 2019,Zero Dep,Petrol,"67,938 Kms",Jaipur,First Owner
2014 Honda City i VTEC CVT VX,₹4.50 Lakh,"Shyam Nagar, Jaipur",Aug 2014,Expired,Petrol,"63,094 Kms",Jaipur,Second Owner
2021 Hyundai Venue S,₹7.25 Lakh,"Nirman Nagar, Jaipur",Jul 2021,Comprehensive,Petrol,"61,000 Kms",Ajmer,Second Owner
2022 BMW X3 2022-2025 xDrive30i M Sport,₹54 Lakh,"Tilak Nagar East, New Delhi",2022,Expired,Petrol,"50,000 Kms",,First Owner
2016 Tata Safari Storme EX,₹7.25 Lakh,"Nirman Nagar, Jaipur",Aug 2017,Comprehensive,Diesel,"89,000 Kms",Kota,Second Owner
2019 Maruti Alto 800 LXI,₹2.80 Lakh,"Vaishali Nagar, Jaipur",2019,Expired,Petrol,"30,000 Kms",Jaipur,Second Owner
2023 Kia Seltos X-Line Diesel AT,₹18.30 Lakh,"Malviya Nagar, Jaipur",2023,Expired,Diesel,"40,000 Kms",Jaipur,First Owner
2022 Maruti Swift Dzire VXI,₹7 Lakh,"Shyam Nagar, Jaipur",Apr 2022,Comprehensive,Petrol,"47,000 Kms",Sikar,First Owner
2023 Maruti Swift VXI,₹7.05 Lakh,"Mansarovar, Jaipur",Nov 2023,Third Party,Petrol,"24,000 Kms",Jaipur,First Owner
2013 Hyundai i20 Sportz 1.2,₹3.60 Lakh,"Ashok Nagar, Jaipur",Apr 2013,Comprehensive,Petrol,"63,000 Kms",Jaipur,Second Owner
2012 Hyundai i20 Petrol Magna,₹2.53 Lakh,"Vaishali Nagar, Jaipur",Nov 2012,Comprehensive,Petrol,"80,012 Kms",Jaipur,First Owner
2017 Ford Ecosport 1.5 Petrol Titanium BSIV,₹6.90 Lakh,"Shyam Nagar, Jaipur",Jul 2017,Comprehensive,Petrol,"32,725 Kms",Jaipur,First Owner
2016 Hyundai Grand i10 Sportz,₹2.70 Lakh,"Jai Singh Pura, Jaipur",2016,Expired,Petrol,"90,000 Kms",Jaipur,First Owner
2014 Maruti Swift Dzire VDI,₹4.20 Lakh,"Shyam Nagar, Jaipur",Oct 2014,Comprehensive,Diesel,"86,000 Kms",RJ60,Second Owner
2018 Hyundai Creta 1.6 E Plus,₹7.45 Lakh,"Nirman Nagar, Jaipur",May 2018,Comprehensive,Petrol,"61,000 Kms",dungarpur,First Owner
2015 Maruti Swift Dzire VDI,₹4.85 Lakh,"Mansarovar, Jaipur",May 2015,Comprehensive,Diesel,"83,000 Kms",kotputli,Second Owner
2010 Honda City 1.5 V MT,₹2 Lakh,"City, Jaipur",Jul 2010,Comprehensive,Petrol,"1,24,000 Kms",Jodhpur,Fifth Owner
2019 Hyundai i20 Sportz Plus,₹6.24 Lakh,"Jeetawal, Jaipur",Jul 2019,Comprehensive,Petrol,"30,496 Kms",Jaipur,Second Owner
2018 Volkswagen Polo Cup Edition Comfortline,₹5.60 Lakh,"Jeetawal, Jaipur",Sept 2018,Comprehensive,Petrol,"50,852 Kms",Jaipur,First Owner
2023 Volkswagen Virtus Highline BSVI,₹11.75 Lakh,"Sanganer Bazar, Jaipur",Oct 2023,Comprehensive,Petrol,"18,919 Kms",Jaipur,First Owner
2012 Maruti Swift Dzire VDi,₹3.55 Lakh,"Ashok Nagar, Jaipur",2012,Expired,Diesel,"85,000 Kms",Jaipur,First Owner
2021 Volkswagen Polo 1.0 MPI Trendline,₹5.45 Lakh,"Jeetawal, Jaipur",Jul 2021,Comprehensive,Petrol,"42,000 Kms",Jaipur,First Owner
2018 BMW Z4 sDrive 35i,₹79.99 Lakh,"Tilak Nagar East, New Delhi",Aug 2021,Comprehensive,Petrol,"32,500 Kms",Chandigarh,Second Owner
2023 Hyundai Alcazar Platinum 7-Seater Diesel,₹19.60 Lakh,"Malviya Nagar, Jaipur",2023,Expired,Diesel,"60,000 Kms",Sikar,First Owner
2014 Nissan Terrano XV 110 PS,₹4.50 Lakh,"Shyam Nagar, Jaipur",Feb 2015,Comprehensive,Diesel,"88,000 Kms",Jaipur,First Owner
2016 Land Rover Range Rover Evoque Pure,₹21.99 Lakh,"Rajasthan State Hotel, Jaipur",Apr 2016,Comprehensive,Diesel,"1,15,000 Kms",Jaipur,First Owner
2018 Hyundai i20 1.4 Sportz,₹6 Lakh,"Jeetawal, Jaipur",Aug 2018,Expired,Diesel,"53,000 Kms",Jaipur,First Owner
2017 Honda City i DTec V,₹5.25 Lakh,"Jeetawal, Jaipur",2017,Expired,Diesel,"1,00,000 Kms",Pimpri chinchwad,First Owner
2014 Honda Amaze VX i-DTEC,₹3.50 Lakh,"Vaishali Nagar, Jaipur",Jul 2014,Comprehensive,Diesel,"95,000 Kms",Jaipur,First Owner
2013 Hyundai i20 Asta 1.4 CRDi,₹2.12 Lakh,"City, Jaipur",2013,Expired,Diesel,"1,50,000 Kms",,Fifth Owner
2005 Toyota Camry V1,₹1.11 Lakh,"Chittora, Jaipur",2005,Expired,Petrol,"80,000 Kms",Ajmer,Second Owner
2013 Mercedes-Benz C-Class 220 CDI MT,₹6 Lakh,"Jeetawal, Jaipur",Feb 2013,Comprehensive,Diesel,"1,24,657 Kms",Jaipur,First Owner
2016 Chevrolet Beat LS,₹2.40 Lakh,"Bassi Naga, Jaipur",Dec 2016,Comprehensive,Petrol,"82,000 Kms",Jaipur,First Owner
2015 Toyota Innova 2.5 G (Diesel) 8 Seater,₹7.90 Lakh,"Nirman Nagar, Jaipur",Nov 2015,Comprehensive,Diesel,"1,25,000 Kms",Sikar,First Owner
2019 Maruti Baleno Alpha CVT,₹5.51 Lakh,"Jeetawal, Jaipur",Mar 2019,Comprehensive,Petrol,"76,000 Kms",Sri Ganganagar,Second Owner
2024 Tata Tiago EV XZ Plus Tech LUX LR ACFC,₹7.75 Lakh,"Nirman Nagar, Jaipur",Feb 2024,Comprehensive,Electric,"31,000 Kms",Jaipur,First Owner
2009 Maruti Alto 800 LXi BSIII,₹1 Lakh,"Chittora, Jaipur",2009,Expired,Petrol,"1,00,000 Kms",Jaipur,Fourth Owner
2017 Maruti Swift VXI,₹4.75 Lakh,"Jeetawal, Jaipur",Dec 2017,Comprehensive,Petrol,"65,000 Kms",Jaipur,First Owner
2020 Datsun RediGO T Option,₹2.80 Lakh,"Ashok Nagar, Jaipur",2020,Expired,Petrol,"30,000 Kms",Sikar,Second Owner
2021 Hyundai Xcent Prime T Plus CNG,₹4.30 Lakh,"Shyam Nagar, Jaipur",2021,Expired,CNG,"40,000 Kms",Jaipur,First Owner
2016 Renault KWID RXT,₹2.69 Lakh,"Jai Singh Pura, Jaipur",Aug 2016,Comprehensive,Petrol,"34,753 Kms",Jaipur,First Owner
2019 Tata Nexon 1.2 Revotron XZ,₹5.83 Lakh,"Jeetawal, Jaipur",Feb 2019,Comprehensive,Petrol,"52,601 Kms",Jaipur,First Owner
2020 Maruti Alto 800 LXI,₹3.85 Lakh,"Mansarovar, Jaipur",Aug 2020,Third Party,Petrol,"77,000 Kms",Jhunjhunu,First Owner
2023 Maruti Grand Vitara Alpha BSVI,₹14.75 Lakh,"Vaishali Nagar, Jaipur",Apr 2023,Comprehensive,Petrol,"16,339 Kms",Alwar,First Owner
2016 Renault KWID 1.0 RXT,₹2.25 Lakh,"City, Jaipur",2016,Expired,Petrol,"60,000 Kms",New Delhi,First Owner
2015 Maruti Swift Dzire VDI,₹5 Lakh,"Jeetawal, Jaipur",Feb 2015,Comprehensive,Diesel,"85,000 Kms",Jaipur,First Owner
2013 Volkswagen Vento 1.5 TDI Comfortline,₹4.21 Lakh,"Shyam Nagar, Jaipur",Sept 2013,Comprehensive,Diesel,"90,000 Kms",Jaipur,Second Owner
2018 Skoda Rapid 1.5 TDI Ambition BSIV,₹7.75 Lakh,"Nirman Nagar, Jaipur",Sept 2018,Third Party,Diesel,"91,050 Kms",Jaipur,First Owner
2014 Honda Brio S MT,₹3.25 Lakh,"Mansarovar, Jaipur",Nov 2014,Comprehensive,Petrol,"23,600 Kms",Jaipur,First Owner
2022 Mahindra XUV300 W6 Sunroof BSVI,₹8.40 Lakh,"Nirman Nagar, Jaipur",Apr 2022,Expired,Petrol,"77,016 Kms",shahpura,First Owner
2016 Toyota Fortuner 4x2 Manual,₹17.90 Lakh,"Malviya Nagar, Jaipur",Sept 2016,Comprehensive,Diesel,"98,302 Kms",Jodhpur,First Owner
2018 Maruti Swift VXI,₹4.88 Lakh,"Jeetawal, Jaipur",May 2018,Expired,Petrol,"93,073 Kms",Jaipur,Second Owner
2014 Ford Figo Diesel Titanium,₹2.80 Lakh,"Ashok Nagar, Jaipur",Sept 2014,Comprehensive,Diesel,"78,000 Kms",RJ59,First Owner
2021 Tata Nexon XMA AMT BSVI,₹8.25 Lakh,"Nirman Nagar, Jaipur",Jan 2022,Comprehensive,Petrol,"31,787 Kms",Jaipur,First Owner
2015 Jaguar XF 2.2 Litre Luxury,₹21 Lakh,"Sanganer Bazar, Jaipur",Oct 2015,Comprehensive,Diesel,"57,000 Kms",Ajmer,First Owner
2019 Renault KWID 1.0 RXT Opt,₹3.83 Lakh,"Mansarovar, Jaipur",Nov 2019,Comprehensive,Petrol,"30,153 Kms",Jaipur,First Owner
2022 Mercedes-Benz GLC 200,₹56 Lakh,"Tilak Nagar East, New Delhi",Aug 2022,Comprehensive,Petrol,"21,000 Kms",HR98,First Owner
2020 Hyundai Grand i10 Nios Magna,₹5.25 Lakh,"Jeetawal, Jaipur",Nov 2020,Comprehensive,Petrol,"26,000 Kms",Jaipur,First Owner
2015 Maruti Swift Dzire LDI,₹3.30 Lakh,"Vaishali Nagar, Jaipur",2015,Expired,Diesel,"1,20,000 Kms",Rohtak,First Owner
2021 Renault Triber RXL,₹5.80 Lakh,"Mansarovar, Jaipur",Nov 2021,Comprehensive,Petrol,"35,000 Kms",bhiwadi,First Owner
2019 Volvo XC 90 T8 Excellence BSIV,₹78 Lakh,"Tilak Nagar East, New Delhi",Jan 2021,Comprehensive,Petrol,"29,001 Kms",Kolkata,First Owner
2005 Honda City 1.5 GXI,₹1.30 Lakh,"Mrec, Jaipur",2005,Expired,Petrol,"1,00,000 Kms",Indore,Second Owner
2017 Porsche Macan 2L,₹44.50 Lakh,"Tilak Nagar East, New Delhi",Feb 2017,Comprehensive,Petrol,"56,000 Kms",New Delhi,Second Owner
2023 Lexus LX 500d,₹2.95 Crore,"Tilak Nagar East, New Delhi",Oct 2023,Comprehensive,Diesel,"37,100 Kms",Chandigarh,First Owner
2022 Maruti Baleno Sigma,₹5.70 Lakh,"Jeetawal, Jaipur",Aug 2022,Comprehensive,Petrol,"67,000 Kms",Jaipur,First Owner
2021 Mercedes-Benz C-Class C300 Cabriolet,₹78 Lakh,"Tilak Nagar East, New Delhi",Nov 2021,Comprehensive,Petrol,"10,001 Kms",Bhagalpur,First Owner
2018 Hyundai i20 Asta 1.2,₹6.24 Lakh,"Jeetawal, Jaipur",Jan 2019,Comprehensive,Petrol,"49,093 Kms",Jaipur,First Owner
2021 Honda City ZX MT Diesel,₹11.25 Lakh,"Sanganer Bazar, Jaipur",2021,Expired,Diesel,"77,000 Kms",,First Owner
2021 Maruti Vitara Brezza VXI,₹7.50 Lakh,"Mansarovar, Jaipur",Nov 2021,Comprehensive,Petrol,"61,288 Kms",Jaipur,First Owner
2019 Tata Tigor 1.2 Revotron XZ,₹4.78 Lakh,"Jeetawal, Jaipur",Feb 2020,Comprehensive,Petrol,"92,322 Kms",Jaipur,First Owner
2018 Volkswagen Ameo 1.5 TDI Highline Plus AT,₹5.75 Lakh,"Jeetawal, Jaipur",Apr 2018,Comprehensive,Diesel,"96,020 Kms",Jaipur,Second Owner
2018 Volkswagen Vento 1.5 TDI Highline Plus AT,₹6.11 Lakh,"Jeetawal, Jaipur",Dec 2018,Comprehensive,Diesel,"1,37,500 Kms",Jaipur,Second Owner
2019 Volkswagen Polo GT TSI,₹6.99 Lakh,"Shyam Nagar, Jaipur",Jun 2019,Comprehensive,Petrol,"80,000 Kms",Pali,First Owner
2021 Hyundai Venue S,₹7.07 Lakh,"Shyam Nagar, Jaipur",Feb 2021,Zero Dep,Petrol,"45,270 Kms",Jaipur,First Owner
2021 Nissan Magnite Turbo XV Premium,₹6.97 Lakh,"Shyam Nagar, Jaipur",Jan 2021,Comprehensive,Petrol,"36,185 Kms",Jodhpur,First Owner
2022 Skoda Kushaq 1.0 TSI Ambition Classic,₹10 Lakh,"Sanganer Bazar, Jaipur",2022,Expired,Petrol,"70,000 Kms",220B,First Owner
2017 BMW X3 xDrive20d Expedition,₹23.75 Lakh,"Mansarovar, Jaipur",Aug 2017,Expired,Diesel,"77,439 Kms",Kota,First Owner
2023 Hyundai Grand i10 Nios Sportz Executive BSVI,₹6.50 Lakh,"Jeetawal, Jaipur",2023,Expired,Petrol,"10,000 Kms",Jaipur,First Owner
2016 Mercedes-Benz S-Class S 500 L,₹87 Lakh,"Tilak Nagar East, New Delhi",Apr 2016,Comprehensive,Petrol,"27,001 Kms",New Delhi,First Owner
2013 Mahindra Quanto C6,₹2 Lakh,"City, Jaipur",May 2013,Expired,Diesel,"80,000 Kms",Jaipur,Second Owner
2022 Hyundai Verna SX,₹11.25 Lakh,"Sanganer Bazar, Jaipur",Aug 2022,Comprehensive,Petrol,"18,000 Kms",Jaipur,First Owner
2018 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹4.25 Lakh,"Mansarovar, Jaipur",Jan 2019,Comprehensive,Petrol,"52,531 Kms",bharatpur,First Owner
2013 Volkswagen Polo Petrol Trendline 1.2L,₹2.61 Lakh,"Shyam Nagar, Jaipur",Jun 2013,Comprehensive,Petrol,"89,000 Kms",Kota,First Owner
2016 Mahindra KUV 100 mFALCON G80 K6,₹2.50 Lakh,"Shyam Nagar, Jaipur",2016,Expired,Petrol,"60,000 Kms",Jaipur,First Owner
2018 Ford Ecosport 1.5 Ti VCT MT Titanium,₹4.49 Lakh,"Shyam Nagar, Jaipur",Apr 2018,Comprehensive,Petrol,"18,035 Kms",Jaipur,First Owner
2019 Maruti Vitara Brezza ZDi Plus Dual Tone,₹7.50 Lakh,"Mansarovar, Jaipur",2019,Expired,Diesel,"40,000 Kms",Jaipur,First Owner
2019 Maruti Vitara Brezza ZDi Plus AMT,₹9 Lakh,"Mansarovar, Jaipur",Mar 2019,Comprehensive,Diesel,"89,000 Kms",Sri Ganganagar,Second Owner
2017 Honda Amaze S Petrol BSIV,₹4.10 Lakh,"Vaishali Nagar, Jaipur",Feb 2017,Expired,Petrol,"41,164 Kms",Jaipur,First Owner
2016 Audi A3 35 TDI Premium,₹15.65 Lakh,"Vaishali Nagar, Jaipur",Mar 2016,Comprehensive,Diesel,"42,000 Kms",Ajmer,First Owner
2016 Renault KWID 1.0 AMT RXT,₹2.64 Lakh,"Jai Singh Pura, Jaipur",Sept 2016,Comprehensive,Petrol,"54,827 Kms",Jaipur,Second Owner
2014 BMW 5 Series 520d Luxury Line,₹21.50 Lakh,"Sanganer Bazar, Jaipur",Aug 2014,Comprehensive,Diesel,"37,000 Kms",Jaipur,Second Owner
2012 Maruti Swift VDI,₹2.80 Lakh,"Vaishali Nagar, Jaipur",2012,Expired,Diesel,"70,000 Kms",,First Owner
2017 Datsun GO T Option BSIV,₹1.60 Lakh,"Mrec, Jaipur",2017,Expired,Petrol,"1,50,000 Kms",New Delhi,First Owner
2020 Mahindra Thar LX 4WD Hard Top AT BSVI,₹12.90 Lakh,"Sanganer Bazar, Jaipur",Feb 2021,Comprehensive,Petrol,"63,598 Kms",bhiwadi,First Owner
2018 Maruti Celerio X AMT ZXI Option,₹4.65 Lakh,"Jeetawal, Jaipur",Feb 2020,Comprehensive,Petrol,"67,000 Kms",Ajmer,First Owner
2015 Hyundai Grand i10 Sportz,₹3.30 Lakh,"City, Jaipur",Jan 2016,Comprehensive,Petrol,"74,010 Kms",Alwar,Second Owner
2019 Volkswagen Polo Cup Edition Comfortline,₹5.37 Lakh,"Jeetawal, Jaipur",Jul 2019,Comprehensive,Petrol,"1,18,493 Kms",Jaipur,First Owner
2011 Hyundai i20 1.2 Era,₹3.10 Lakh,"Mansarovar, Jaipur",May 2011,Comprehensive,Petrol,"54,000 Kms",Jaipur,First Owner
2020 Skoda Kodiaq 2.0 TDI Style,₹26.50 Lakh,"Mansarovar, Jaipur",Nov 2020,Comprehensive,Diesel,"73,000 Kms",Sri Ganganagar,First Owner
2018 Hyundai Creta 1.6 SX,₹9.20 Lakh,"Bassi Naga, Jaipur",2018,Expired,Petrol,"30,000 Kms",Jaipur,First Owner
2011 Maruti Swift VXI,₹3.14 Lakh,"Vaishali Nagar, Jaipur",Dec 2011,Comprehensive,Petrol,"41,138 Kms",Jaipur,First Owner
2016 Maruti S Cross DDiS 200 Zeta,₹5.60 Lakh,"Jeetawal, Jaipur",May 2016,Comprehensive,Diesel,"96,000 Kms",Jaipur,First Owner
2010 Mahindra Xylo D2 BS IV,₹3 Lakh,"Mansarovar, Jaipur",2010,Expired,Diesel,"1,00,000 Kms",,First Owner
2020 Hyundai Creta SX BSVI,₹13.50 Lakh,"Sanganer Bazar, Jaipur",Jul 2020,Expired,Petrol,"71,849 Kms",Alwar,First Owner
2016 Skoda Octavia Style Plus 1.8 TSI AT,₹5.71 Lakh,"Jeetawal, Jaipur",2016,Expired,Petrol,"1,20,000 Kms",,Third Owner
2015 Nissan Micra Active XV,₹2.75 Lakh,"Mansarovar, Jaipur",Feb 2016,Comprehensive,Petrol,"74,123 Kms",Jodhpur,Second Owner
2015 Honda City i DTEC V,₹4.90 Lakh,"Jeetawal, Jaipur",Jul 2015,Comprehensive,Diesel,"91,000 Kms",Jaipur,First Owner
2019 Hyundai i20 Sportz 1.2,₹6.28 Lakh,"Jeetawal, Jaipur",Feb 2020,Comprehensive,Petrol,"42,746 Kms",Pali,First Owner
2017 BMW 5 Series 520d Luxury Line,₹23.90 Lakh,"Mansarovar, Jaipur",Aug 2017,Comprehensive,Diesel,"1,04,138 Kms",Churu,Second Owner
2016 Renault Duster RXL AWD,₹5.30 Lakh,"Jeetawal, Jaipur",May 2016,Comprehensive,Diesel,"78,000 Kms",Alwar,First Owner
2016 Hyundai i20 Asta 1.2,₹5.70 Lakh,"Jeetawal, Jaipur",Aug 2016,Comprehensive,Petrol,"78,000 Kms",Sri Ganganagar,First Owner
2016 Maruti Ciaz VXi Plus,₹4.75 Lakh,"Jeetawal, Jaipur",Apr 2016,Comprehensive,Petrol,"73,627 Kms",Jaipur,First Owner
2021 Toyota Glanza V,₹6.25 Lakh,"Mansarovar, Jaipur",Mar 2021,Zero Dep,Petrol,"53,343 Kms",Jaipur,First Owner
2015 Hyundai i20 Magna 1.2,₹5 Lakh,"Jeetawal, Jaipur",Jun 2015,Comprehensive,Petrol,"64,000 Kms",Jaipur,First Owner
2012 Chevrolet Beat Diesel PS,₹1 Lakh,"Chittora, Jaipur",2012,Expired,Diesel,"1,20,000 Kms",Jaipur,First Owner
2018 Volkswagen Polo 1.5 TDI Highline,₹6 Lakh,"Jeetawal, Jaipur",Mar 2018,Comprehensive,Diesel,"86,000 Kms",Jaipur,Second Owner
2022 Skoda Slavia 1.5 TSI Style,₹11.12 Lakh,"Sanganer Bazar, Jaipur",Jul 2022,Comprehensive,Petrol,"94,659 Kms",Jaipur,First Owner
2022 Mercedes-Benz AMG GLC 43 4MATIC Coupe,₹82 Lakh,"Tilak Nagar East, New Delhi",Oct 2024,Comprehensive,Petrol,"24,000 Kms",Ajmer,First Owner
2023 Toyota Fortuner 4X4 Diesel,₹44 Lakh,"Tilak Nagar East, New Delhi",Feb 2024,Comprehensive,Diesel,"28,000 Kms",Jamshedpur,First Owner
2018 Renault KWID 1.0 RXT Optional,₹2.90 Lakh,"Mansarovar, Jaipur",Sept 2018,Comprehensive,Petrol,"44,423 Kms",Jaipur,First Owner
2022 Mercedes-Benz AMG G 63 4MATIC 2018-2023,₹2.88 Crore,"Tilak Nagar East, New Delhi",Jul 2022,Comprehensive,Petrol,"19,100 Kms",Jalandhar,First Owner
2016 Volkswagen Polo Cup Edition Comfortline,₹4.47 Lakh,"Mansarovar, Jaipur",Feb 2016,Comprehensive,Petrol,"60,169 Kms",Jaipur,Second Owner
2023 Volvo XC60 B5 Ultimate BSVI,₹64 Lakh,"Tilak Nagar East, New Delhi",Jan 2024,Comprehensive,Petrol,"6,001 Kms",Jamshedpur,First Owner
2021 Ford Endeavour Titanium Plus 4X4 AT,₹25.50 Lakh,"Mansarovar, Jaipur",2021,Expired,Diesel,"70,000 Kms",,First Owner
2020 Jeep Compass 2.0 Limited Option 4X4,₹19 Lakh,"Malviya Nagar, Jaipur",Oct 2020,Comprehensive,Diesel,"90,000 Kms",Sikar,First Owner
2018 Hyundai Creta N Line N8,₹8.25 Lakh,"Mansarovar, Jaipur",Apr 2019,Comprehensive,Petrol,"1,77,000 Kms",Chittorgarh,First Owner
2011 Maruti A-Star Zxi,₹2.34 Lakh,"Mansarovar, Jaipur",Dec 2011,Comprehensive,Petrol,"71,767 Kms",Jaipur,Second Owner
2015 BMW 3 Series 320d Luxury Line,₹21.50 Lakh,"Sanganer Bazar, Jaipur",Nov 2015,Comprehensive,Diesel,"70,000 Kms",Jaipur,First Owner
2018 Honda Jazz 1.2 VX i VTEC,₹5.90 Lakh,"Mansarovar, Jaipur",Feb 2019,Comprehensive,Petrol,"66,686 Kms",Jaipur,First Owner
2019 Volvo S90 D4 Momentum,₹35 Lakh,"Tilak Nagar East, New Delhi",Nov 2019,Comprehensive,Diesel,"22,000 Kms",Jaipur,Third Owner
