title,price,location,Registration Year,Insurance,Fuel Type,Kms Driven,RTO,Ownership
2016 Hyundai Creta 1.6 SX Automatic,₹8.70 Lakh,"Thygaraya Nagar, Chennai",May 2016,Comprehensive,Petrol,"42,000 Kms",Chennai,First Owner
2024 Honda Elevate ZX CVT,₹17.40 Lakh,Chennai,2024,Expired,Petrol,"10,000 Kms",,First Owner
2020 Kia Seltos GTX Plus,₹11.91 Lakh,"Vadapalani, Chennai",Jan 2021,Comprehensive,Petrol,"44,920 Kms",Chennai,First Owner
2021 Hyundai Creta SX Diesel AT BSVI,₹15.50 Lakh,"Ashoknagar, Chennai",May 2021,Comprehensive,Diesel,"70,000 Kms",Chennai,First Owner
2016 Volvo V40 D3,₹13 Lakh,"Ashoknagar, Chennai",Jul 2016,Comprehensive,Diesel,"67,000 Kms",Chennai,Second Owner
2022 Tata Nexon XZ Plus BSVI,₹11.90 Lakh,"Anna Nagar, Chennai",Jul 2022,Expired,Petrol,"45,000 Kms",Poonamallee,First Owner
2017 Renault KWID Climber 1.0 MT,₹3.75 Lakh,"Vadapalani, Chennai",Jun 2017,Comprehensive,Petrol,"30,773 Kms",Sivaganga,First Owner
2016 Volkswagen Polo 1.2 MPI Highline,₹4.60 Lakh,Chennai,2016,Expired,Petrol,"40,000 Kms",Chennai,Second Owner
2022 Mahindra Bolero Neo N10,₹9.75 Lakh,"Vadapalani, Chennai",Jun 2022,Comprehensive,Diesel,"36,028 Kms",Chennai,First Owner
2020 Honda City ZX MT,₹12.31 Lakh,"Airport, Chennai",Nov 2020,Comprehensive,Petrol,"30,400 Kms",Chennai,First Owner
2021 Hyundai Venue SX Opt Turbo,₹8.50 Lakh,Chennai,2021,Expired,Petrol,"50,000 Kms",Chennai,First Owner
2017 Hyundai i20 Asta 1.4 CRDi,₹5.74 Lakh,"Vadapalani, Chennai",Dec 2017,Comprehensive,Diesel,"1,06,448 Kms",Chennai,First Owner
